code,level,label,parent_code
321407,field,Toxicology (incl. clinical toxicology),3214
321499,field,Pharmacology and pharmaceutical sciences not elsewhere classified,3214
3215,group,Reproductive medicine,32
321501,field,Foetal development and medicine,3215
321502,field,Obstetrics and gynaecology,3215
321503,field,Reproduction,3215
321599,field,Reproductive medicine not elsewhere classified,3215
3299,group,Other biomedical and clinical sciences,32
329999,field,Other biomedical and clinical sciences not elsewhere classified,3299
33,division,BUILT ENVIRONMENT AND DESIGN,
3301,group,Architecture,33
330101,field,Architectural computing and visualisation methods,3301
330102,field,Architectural design,3301
330103,field,Architectural heritage and conservation,3301
330104,field,"Architectural history, theory and criticism",3301
330105,field,Architectural science and technology,3301
330106,field,Architecture for disaster relief,3301
330107,field,Architecture management,3301
330108,field,Interior design,3301
330109,field,Landscape architecture,3301
330110,field,Sustainable architecture,3301
330199,field,Architecture not elsewhere classified,3301
3302,group,Building,33
330201,field,Automation and technology in building and construction,3302
330202,field,Building construction management and project planning,3302
330203,field,Building industry studies,3302
330204,field,Building information modelling and management,3302
330205,field,Building organisational studies,3302
330206,field,"Building science, technologies and systems",3302
330207,field,Quantity surveying,3302
330299,field,Building not elsewhere classified,3302
3303,group,Design,33
330301,field,Data visualisation and computational (incl. parametric and generative) design,3303
330302,field,Design anthropology,3303
330303,field,Design for disaster relief,3303
330304,field,"Design history, theory and criticism",3303
330305,field,Design management,3303
330306,field,Design practice and methods,3303
330307,field,Ergonomics design,3303
330308,field,Fire safety design,3303
330309,field,Industrial and product design,3303
330310,field,Interaction and experience design,3303
330311,field,Models and simulations of design,3303
330312,field,Service design,3303
330313,field,Social design,3303
330314,field,Sustainable design,3303
330315,field,Textile and fashion design,3303
330316,field,Visual communication design (incl. graphic design),3303
330399,field,Design not elsewhere classified,3303
3304,group,Urban and regional planning,33
330401,field,Community planning,3304
330402,field,History and theory of the built environment (excl. architecture),3304
330403,field,"Housing markets, development and management",3304
330404,field,Land use and environmental planning,3304
330405,field,Public participation and community engagement,3304
330406,field,Regional analysis and development,3304
330407,field,Regulatory planning and development assessment,3304
