code,level,label,parent_code
180502,objective,Assessment and management of pelagic marine ecosystems,1805
180503,objective,"Control of pests, diseases and exotic species in marine environments",1805
180504,objective,Marine biodiversity,1805
180505,objective,Measurement and assessment of marine water quality and condition,1805
180506,objective,Oceanic processes (excl. in the Antarctic and Southern Ocean),1805
180507,objective,Rehabilitation or conservation of marine environments,1805
180599,objective,Marine systems and management not elsewhere classified,1805
1806,group,Terrestrial systems and management,18
180601,objective,Assessment and management of terrestrial ecosystems,1806
180602,objective,"Control of pests, diseases and exotic species in terrestrial environments",1806
180603,objective,"Evaluation, allocation, and impacts of land use",1806
180604,objective,Rehabilitation or conservation of terrestrial environments,1806
180605,objective,Soils,1806
180606,objective,Terrestrial biodiversity,1806
180607,objective,Terrestrial erosion,1806
180699,objective,Terrestrial systems and management not elsewhere classified,1806
1899,group,Other environmental management,18
189999,objective,Other environmental management not elsewhere classified,1899
19,division,"ENVIRONMENTAL POLICY, CLIMATE CHANGE AND NATURAL HAZARDS",
1901,group,Adaptation to climate change,19
190101,objective,Climate change adaptation measures (excl. ecosystem),1901
190102,objective,Ecosystem adaptation to climate change,1901
190103,objective,Social impacts of climate change and variability,1901
190199,objective,Adaptation to climate change not elsewhere classified,1901
1902,group,"Environmental policy, legislation and standards",19
190201,objective,"Consumption patterns, population issues and the environment",1902
190202,objective,Eco-verification (excl. environmental lifecycle assessment),1902
190203,objective,Environmental education and awareness,1902
190204,objective,Environmental lifecycle assessment,1902
190205,objective,Environmental protection frameworks (incl. economic incentives),1902
190206,objective,Institutional arrangements,1902
190207,objective,Land policy,1902
190208,objective,Rights to environmental and natural resources (excl. water allocation),1902
190209,objective,Sustainability indicators,1902
190210,objective,Trade and environment,1902
190211,objective,Water policy (incl. water allocation),1902
190299,objective,"Environmental policy, legislation and standards not elsewhere classified",1902
1903,group,Mitigation of climate change,19
190301,objective,Climate change mitigation strategies,1903
190302,objective,Management of greenhouse gas emissions from animal production,1903
190303,objective,Management of greenhouse gas emissions from commercial services and tourism,1903
190304,objective,Management of greenhouse gas emissions from construction activities,1903
190305,objective,Management of greenhouse gas emissions from electricity generation,1903
190306,objective,Management of greenhouse gas emissions from energy activities,1903
190307,objective,Management of greenhouse gas emissions from information and communication services,1903
190308,objective,Management of greenhouse gas emissions from manufacturing activities,1903
190309,objective,Management of greenhouse gas emissions from mineral resources activities,1903
190310,objective,Management of greenhouse gas emissions from plant production,1903
190311,objective,Management of greenhouse gas emissions from transport activities,1903
190399,objective,Mitigation of climate change not elsewhere classified,1903
1904,group,Natural hazards,19
190401,objective,"Climatological hazards (e.g. extreme temperatures, drought and wildfires)",1904
190402,objective,Extraterrestrial hazards (e.g. meteorites),1904
190403,objective,"Geological hazards (e.g. earthquakes, landslides and volcanic activity)",1904
190404,objective,Hydrological hazards (e.g. avalanches and floods),1904
190405,objective,Meteorological hazards (e.g. cyclones and storms),1904
190499,objective,Natural hazards not elsewhere classified,1904
1905,group,Understanding climate change,19
190501,objective,Climate change models,1905
190502,objective,Climate variability (excl. social impacts),1905
190503,objective,Effects of climate change on Antarctic and sub-Antarctic environments (excl. social impacts),1905
190504,objective,Effects of climate change on Australia (excl. social impacts),1905
190505,objective,Effects of climate change on New Zealand (excl. social impacts),1905
190506,objective,Effects of climate change on the South Pacific (excl. Australia and New Zealand) (excl. social impacts),1905
190507,objective,"Global effects of climate change (excl. Australia, New Zealand, Antarctica and the South Pacific) (excl. social impacts)",1905
190508,objective,Understanding the impact of natural hazards caused by climate change,1905
190599,objective,Understanding climate change not elsewhere classified,1905
1999,group,"Other environmental policy, climate change and natural hazards",19
199999,objective,"Other environmental policy, climate change and natural hazards not elsewhere classified",1999
20,division,HEALTH,
2001,group,Clinical health,20
200101,objective,Diagnosis of human diseases and conditions,2001
200102,objective,Efficacy of medications,2001
